Deaths,Confirmed,Recovered,Country
0.0061857788738183,0.142134196465269,0.12337392108508,Afghanistan
0.0509513742071882,2.96730091613813,1.79263565891473,Albania
0.0065581531663548,0.244897085014767,0.167572198300156,Algeria
0.0014605497816862,0.0616874730951356,0.0568076994034807,Angola
0.108226634638694,4.35614738744298,3.90519205765035,Argentina
0.105345060893099,5.68122462787551,5.3984100135318,Armenia
0.0035295488079521,0.112025316455696,0.101289120136678,Australia
0.0896791563832174,4.73998205070675,4.49687009199013,Austria
0.0312227938266719,2.28553620894341,2.22557380292837,Azerbaijan
0.0048230659152341,0.316691105889558,0.284343586029009,Bangladesh
0.0062717770034843,0.58397212543554,0.470034843205575,Barbados
0.018912,2.740896,2.612704,Belarus
0.185427702996092,6.28632218844985,0.0,Belgium
0.0730310262529833,2.8727923627685,2.73961813842482,Belize
0.0004504873454009,0.0343435170775657,0.0291833893029732,Benin
0.0924353133327602,1.95244562881458,1.43861428694232,Bolivia
0.145534897896983,3.76208473026516,2.96031697653155,Bosnia and Herzegovina
0.0070349589987052,1.01437203280104,0.844799309451877,Botswana
0.108602912016316,4.46016514645063,3.97946858534927,Brazil
0.134416053125451,3.22725566623358,2.7889562581204,Bulgaria
0.000641056307707,0.053709993780797,0.0480313830550639,Burkina Faso
0.0242805755395683,2.5863309352518,2.46115107913669,Cabo Verde
0.0,0.003058656514164,0.0029295992772794,Cambodia
0.001782088878863,0.118031430934657,0.110914354462742,Cameroon
0.0013043478260869,0.103291925465839,0.101138716356108,Central African Republic
0.0007406529596492,0.0205783018308941,0.0168809622563252,Chad
0.0003438428106404,0.0071555243388941,0.0066851827422569,China
0.112638540571151,4.35079483860529,4.09014440579241,Colombia
0.0145161290322581,0.571674519753534,0.379720913374411,Congo
0.0522793973782039,3.84343572686363,3.05578164742712,Costa Rica
0.0006189111747851,0.112958930276982,0.106105062082139,Cote d'Ivoire
0.127960199004975,5.84890547263682,5.64870646766169,Croatia
0.0020654197322932,0.283760304937506,0.230821735661732,Cuba
0.0174813587406794,2.62170671085336,0.170422535211268,Cyprus
0.159845091452034,9.61284061216872,8.55532848077641,Czechia
0.0380168124892777,3.4632183908046,3.30735975295934,Denmark
0.0063765182186234,0.601315789473684,0.592307692307692,Djibouti
0.0,0.168055555555556,0.152777777777778,Dominica
0.0266761904761905,2.11569523809524,1.57770476190476,Dominican Republic
0.0856832847924162,1.46830563645708,1.19818399862943,Ecuador
0.0095274942214021,0.167758896064601,0.131002053510312,Egypt
0.0258139176053078,0.867721030705138,0.778136090109551,El Salvador
0.0342599549211119,3.56964688204358,2.82854996243426,Estonia
0.0547101449275362,1.46567028985507,1.03885869565217,Eswatini
0.0018665808068502,0.123092519753559,0.109237181941592,Ethiopia
0.0002232142857142,0.00625,0.0059151785714285,Fiji
0.0124434798336046,0.854801953336951,0.560680050642069,Finland
0.121558361564521,5.1990545118571,0.367876501385895,France
0.0031824294038547,0.51353653070372,0.483953384132676,Gabon
0.0055440628878775,0.175299958626396,0.160777823748448,Gambia
0.0879946164199192,7.04226110363392,6.80524899057873,Georgia
0.073890756302521,2.74310084033613,2.45136614645858,Germany
0.0014449843915939,0.225424001544749,0.204363917227175,Ghana
0.0556168224299065,1.52535514018692,0.876299065420561,Greece
0.0324034097199159,0.901898594044061,0.824294254400531,Guatemala
0.0006687898089171,0.116759554140127,0.114012738853503,Guinea
0.0023871302542812,0.143850544888428,0.125947067981318,Guinea-Bissau
0.0228716645489199,1.00876747141042,0.884625158831004,Guyana
0.0021485573971761,0.103113215820398,0.0802946593001842,Haiti
0.0376115166261152,1.5602696674777,0.626368613138686,Honduras
0.13336746186137,3.84073922391727,2.84579707177229,Hungary
0.0078804347826087,1.63614130434783,1.61929347826087,Iceland
0.0110703521177059,0.77325641025641,0.751560674237554,India
0.0115526295452622,0.422099882607944,0.345619877897541,Indonesia
0.0694141414141414,1.73424836601307,1.4823220439691,Iran (Islamic Republic of)
0.0330044052863436,1.57939836375079,1.50828697293896,Iraq
0.0734359384369378,4.04853088147112,0.466999800119928,Ireland
0.0550238715277778,7.43905164930556,6.60963541666667,Israel
0.150927093007828,4.353685153244,3.49452865861749,Italy
0.0127091491634033,0.599537201851193,0.435208259166963,Jamaica
0.0050592615526288,0.32082053236165,0.284769820667318,Japan
0.0409120704185785,3.12627586852702,2.9917595280457,Jordan
0.0166506512919069,1.29940209267564,1.13776425368354,Kazakhstan
0.0033178897025855,0.189975340008967,0.157491406366761,Kenya
0.0028408103358374,0.156227187578455,0.136855217164597,"Korea, South"
0.0205499893412918,3.6247282029418,3.4340865487103,Kuwait
0.0215802244464665,1.28892932969366,1.23660903851987,Kyrgyzstan
0.0,0.0006213753106876,0.0005661419497376,Lao People's Democratic Republic
0.0697686645636172,3.74973711882229,3.12297581493165,Latvia
0.0521904761904762,4.65693772893773,2.94706227106227,Lebanon
0.0085434173669467,0.437908496732026,0.126330532212885,Lesotho
0.0016607354685646,0.0386714116251483,0.034994068801898,Liberia
0.104760200429492,6.66707229778096,4.93962061560487,Lithuania
0.0933544303797468,8.1506329113924,7.66155063291139,Luxembourg
0.0010147701419233,0.0688490845401033,0.0657794951428262,Madagascar
0.0043753267119707,0.140486147412441,0.0593204391008887,Malawi
0.002614319270309,0.72822976724322,0.57036087977792,Malaysia
0.0099815157116451,3.07874306839187,2.690573012939,Maldives
0.00166905338008,0.0402943064540023,0.0298948200088884,Mali
0.053448275862069,3.55862068965517,3.04521072796935,Malta
0.0091397849462365,0.361118279569893,0.343763440860215,Mauritania
0.000790513833992,0.0461660079051383,0.0426877470355731,Mauritius
0.129731125579066,1.50719919869788,1.15980499561788,Mexico
5.9506099375186e-05,0.0601904195180006,0.0431121689973222,Mongolia
0.134405144694534,10.4081993569132,9.03987138263666,Montenegro
0.0233116377392078,1.32111148197597,1.26257510013351,Morocco
0.0014470897773214,0.141538856446127,0.0859590579477636,Mozambique
0.0146005509641873,1.37127115308933,1.31282959464778,Namibia
0.0067842378983864,0.906140818775837,0.892825710094679,Nepal
0.0828304803343448,5.81529169290662,0.0760634339039331,Netherlands
0.0005013033888109,0.0465209544816523,0.0446962101463806,New Zealand
0.0025773195876288,0.0954972710733778,0.0640539721043056,Nicaragua
0.0006821282401091,0.0190086402910414,0.0163297366571582,Niger
0.0007989715727175,0.0675472979528476,0.0546022120888716,Nigeria
0.140192307692308,4.54802884615385,4.02572115384615,North Macedonia
0.0108037868943753,1.2001670688695,0.334100612585855,Norway
0.0325058349246764,2.86528750265224,2.70031826861871,Oman
0.0054164026432515,0.250961346972029,0.230941432063004,Pakistan
0.127363997198226,7.62232080317535,6.77385010506654,Panama
0.0386905582356995,1.89666436940041,1.56259131633356,Paraguay
0.127751035827443,3.57374177431148,3.31051364854984,Peru
0.0101386189211633,0.488698770772305,0.445757019921337,Philippines
0.101631567973311,4.0281745204337,3.39233475813178,Poland
0.136070209653827,7.42960507069722,5.84683568990736,Portugal
0.0977547944493529,3.86332830933943,3.58335845330284,Romania
0.0511200616084998,2.66310441413997,2.31614224475748,Russian Federation
0.0016754169240271,0.12613495985176,0.0930126621371217,Rwanda
0.0027027027027027,1.08288288288288,0.361261261261261,Saint Vincent and the Grenadines
0.0,0.001,0.001,Samoa
0.0085714285714285,0.643333333333333,0.504761904761905,Sao Tome and Principe
0.0182557575411661,1.05579464056391,1.03089809080791,Saudi Arabia
0.0040312947921643,0.17014452938366,0.139106545628285,Senegal
0.0591059364668679,5.84090843754492,0.0,Serbia
0.0009903472483389,0.0472859470979065,0.0307383728218629,Sierra Leone
0.094013181984621,4.7926400585866,4.36142438667155,Slovakia
0.171754636233952,8.2359010936757,7.31293390394674,Slovenia
0.0,0.0023776223776223,0.0013986013986014,Solomon Islands
0.0774468370564164,2.47148990407191,2.24809988595962,South Africa
0.128867429411147,6.17611000314894,0.31568384591162,Spain
0.0016000364680676,0.312604275880932,0.285335278296941,Sri Lanka
0.0041756938584688,0.0675819288923351,0.0497023877397432,Sudan
0.0264462809917355,1.4297520661157,1.31801652892562,Suriname
0.11674857858726,5.66697504095596,0.0,Sweden
0.111257817929117,6.16021542738013,3.67848042622191,Switzerland
0.0001187362852075,0.0351264015390627,0.0254636727086903,Thailand
0.0,0.0060698027314112,0.004628224582701,Timor-Leste
0.0009542215243386,0.0656601038772799,0.0547771469984298,Togo
0.0098612125639152,0.556026296566837,0.529948867786706,Trinidad and Tobago
0.0602051109616678,1.81721587088097,1.45330363147276,Tunisia
0.0318676331848526,3.01513787214732,2.88105019286576,Turkey
0.0007148947333901,0.0870575632364837,0.0313701055945432,Uganda
0.0592058020967974,3.07592273445354,2.65338216286084,Ukraine
0.0093475148292084,3.30744528533442,3.07916751892002,United Arab Emirates
0.167220071471114,5.86848272781417,0.0151608100059559,United Kingdom
3.51558576355175e-05,0.0008521110255465,0.0003063581879666,United Republic of Tanzania
0.140103007778633,8.15992184989602,0.0,United States of America
0.0136222033418295,1.26910223732654,1.08946474086661,Uruguay
0.0018171709486744,0.231301574296249,0.226751331421549,Uzbekistan
0.0,0.0003115264797507,0.0003115264797507,Vanuatu
0.0042869610752312,0.452585093384535,0.424398673415954,Venezuela (Bolivarian Republic of)
3.63791329293517e-05,0.0020632165389932,0.0015258447754368,Vietnam
0.002061959364313,0.0071313618990142,0.0047877690605512,Yemen
0.0045637510879025,0.334132941688425,0.290524369016536,Zambia
0.0088542017089416,0.232032564085313,0.190964139137455,Zimbabwe
